INFO 2022-09-19 19:10:56,799 autoreload 17924 27856 Watching for file changes with StatReloader
DEBUG 2022-09-19 19:10:56,799 autoreload 17924 27856 Waiting for apps ready_event.
DEBUG 2022-09-19 19:10:57,211 autoreload 17924 27856 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2022-09-19 19:10:57,243 autoreload 17924 27856 Watching dir C:\Users\LloydQueen\Anaconda3\envs\py39slim\lib\site-packages\import_export\templates with glob **/*.
DEBUG 2022-09-19 19:10:57,243 autoreload 17924 27856 Watching dir D:\Django Projects\Ongoing Projects\ICareGameCredits\icaregamecredits\icgc_app\templates with glob **/*.
DEBUG 2022-09-19 19:10:57,243 autoreload 17924 27856 Watching dir D:\Django Projects\Ongoing Projects\ICareGameCredits\icaregamecredits\locale with glob **/*.mo.
DEBUG 2022-09-19 19:10:57,243 autoreload 17924 27856 Watching dir D:\Django Projects\Ongoing Projects\ICareGameCredits\icaregamecredits\icgc_app\locale with glob **/*.mo.
DEBUG 2022-09-19 19:10:57,243 autoreload 17924 27856 Watching dir C:\Users\LloydQueen\Anaconda3\envs\py39slim\lib\site-packages\import_export\locale with glob **/*.mo.
DEBUG 2022-09-19 19:10:57,243 autoreload 17924 27856 Watching dir C:\Users\LloydQueen\Anaconda3\envs\py39slim\lib\site-packages\django_cleanup\locale with glob **/*.mo.
DEBUG 2022-09-19 19:10:57,321 utils 17924 28716 (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
DEBUG 2022-09-19 19:10:57,323 utils 17924 28716 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=()
DEBUG 2022-09-19 19:10:57,485 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\numpy\core\multiarray.py first seen with mtime 1645364533.1937046
DEBUG 2022-09-19 19:10:57,485 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\yaml\reader.py first seen with mtime 1645364945.6190865
DEBUG 2022-09-19 19:10:57,485 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1659963809.6681032
DEBUG 2022-09-19 19:10:57,485 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\xendit\models\xenplatform\response\xenplatform_transfers.py first seen with mtime 1662080437.58194
